# element	name	version
freedesktop-sdk.bst-components-libvorbis.bst	libvorbis	
freedesktop-sdk.bst-components-libvpx.bst	libvpx	
freedesktop-sdk.bst-components-libwacom.bst	libwacom	
freedesktop-sdk.bst-components-libwebp.bst	libwebp	
freedesktop-sdk.bst-components-libxkbcommon.bst	libxkbcommon	
freedesktop-sdk.bst-components-libxml2.bst	libxml2	
freedesktop-sdk.bst-components-libxmlb.bst	libxmlb	
freedesktop-sdk.bst-components-libxslt.bst	libxslt	
freedesktop-sdk.bst-components-libyaml.bst	libyaml	
freedesktop-sdk.bst-components-linux-firmware.bst	linux-firmware	
freedesktop-sdk.bst-components-linux-pam-base.bst	linux-pam-base	
freedesktop-sdk.bst-components-linux-pam.bst	linux-pam	
freedesktop-sdk.bst-components-llvm.bst	llvm	
freedesktop-sdk.bst-components-locales.bst	locales	
freedesktop-sdk.bst-components-lua.bst	lua	
freedesktop-sdk.bst-components-lvm2.bst	lvm2	
freedesktop-sdk.bst-components-lz4.bst	lz4	
freedesktop-sdk.bst-components-lzip.bst	lzip	
freedesktop-sdk.bst-components-lzo.bst	lzo	
freedesktop-sdk.bst-components-m4.bst	m4	
freedesktop-sdk.bst-components-make.bst	make	
freedesktop-sdk.bst-components-man-db.bst	man-db	
freedesktop-sdk.bst-components-mandoc.bst	mandoc	
freedesktop-sdk.bst-components-mdadm.bst	mdadm	
freedesktop-sdk.bst-components-mesa-headers.bst	mesa-headers	
freedesktop-sdk.bst-components-meson.bst	meson	
freedesktop-sdk.bst-components-modemmanager.bst	modemmanager	
freedesktop-sdk.bst-components-mpfr.bst	mpfr	
freedesktop-sdk.bst-components-mpg123.bst	mpg123	
freedesktop-sdk.bst-components-mtdev.bst	mtdev	
freedesktop-sdk.bst-components-mutool.bst	mutool	
freedesktop-sdk.bst-components-mythes.bst	mythes	
freedesktop-sdk.bst-components-nano.bst	nano	
freedesktop-sdk.bst-components-nasm.bst	nasm	
freedesktop-sdk.bst-components-netavark.bst	netavark	
freedesktop-sdk.bst-components-nettle.bst	nettle	
freedesktop-sdk.bst-components-nftables.bst	nftables	
freedesktop-sdk.bst-components-ninja.bst	ninja	
freedesktop-sdk.bst-components-noto-emoji.bst	noto-emoji	
freedesktop-sdk.bst-components-npth.bst	npth	
freedesktop-sdk.bst-components-nspr.bst	nspr	
freedesktop-sdk.bst-components-nss.bst	nss	
freedesktop-sdk.bst-components-nv-codec-headers.bst	nv-codec-headers	
freedesktop-sdk.bst-components-oci-builder.bst	oci-builder	
freedesktop-sdk.bst-components-open-iscsi.bst	open-iscsi	
freedesktop-sdk.bst-components-open-isns.bst	open-isns	
freedesktop-sdk.bst-components-openal.bst	openal	
freedesktop-sdk.bst-components-opencl.bst	opencl	
freedesktop-sdk.bst-components-openjpeg.bst	openjpeg	
freedesktop-sdk.bst-components-openssh-systemd.bst	openssh-systemd	
freedesktop-sdk.bst-components-openssh.bst	openssh	
freedesktop-sdk.bst-components-openssl.bst	openssl	
freedesktop-sdk.bst-components-opus.bst	opus	
freedesktop-sdk.bst-components-opusfile.bst	opusfile	
freedesktop-sdk.bst-components-orc.bst	orc	
freedesktop-sdk.bst-components-ostree-minimal.bst	ostree-minimal	
freedesktop-sdk.bst-components-ostree.bst	ostree	
freedesktop-sdk.bst-components-p11-kit.bst	p11-kit	
freedesktop-sdk.bst-components-pahole.bst	pahole	
freedesktop-sdk.bst-components-parallel.bst	parallel	
freedesktop-sdk.bst-components-parted.bst	parted	
freedesktop-sdk.bst-components-passt.bst	passt	
freedesktop-sdk.bst-components-patch.bst	patch	
freedesktop-sdk.bst-components-patchelf.bst	patchelf	
freedesktop-sdk.bst-components-pciutils.bst	pciutils	
freedesktop-sdk.bst-components-pcsc-lite.bst	pcsc-lite	
freedesktop-sdk.bst-components-pdfio.bst	pdfio	
freedesktop-sdk.bst-components-perl-build.bst	perl-build	
freedesktop-sdk.bst-components-perl-class-inspector.bst	perl-class-inspector	
freedesktop-sdk.bst-components-perl-file-sharedir-install.bst	perl-file-sharedir-install	
freedesktop-sdk.bst-components-perl-file-sharedir.bst	perl-file-sharedir	
freedesktop-sdk.bst-components-perl-module-build.bst	perl-module-build	
freedesktop-sdk.bst-components-perl-module-install.bst	perl-module-install	
freedesktop-sdk.bst-components-perl-module-scandeps.bst	perl-module-scandeps	
freedesktop-sdk.bst-components-perl-pod-parser.bst	perl-pod-parser	
freedesktop-sdk.bst-components-perl-sasl.bst	perl-sasl	
freedesktop-sdk.bst-components-perl-ssl.bst	perl-ssl	
freedesktop-sdk.bst-components-perl-ssleay.bst	perl-ssleay	
freedesktop-sdk.bst-components-perl-xml-parser.bst	perl-xml-parser	
freedesktop-sdk.bst-components-perl-yaml-tiny.bst	perl-yaml-tiny	
freedesktop-sdk.bst-components-perl.bst	perl	
freedesktop-sdk.bst-components-pipewire-daemon.bst	pipewire-daemon	
freedesktop-sdk.bst-components-pipewire-manifest.bst	pipewire-manifest	
freedesktop-sdk.bst-components-pipewire.bst	pipewire	
freedesktop-sdk.bst-components-pixman.bst	pixman	
freedesktop-sdk.bst-components-pkg-config.bst	pkg-config	
freedesktop-sdk.bst-components-po4a.bst	po4a	
freedesktop-sdk.bst-components-podman.bst	podman	
freedesktop-sdk.bst-components-polkit-gobject.bst	polkit-gobject	
freedesktop-sdk.bst-components-polkit-manifest.bst	polkit-manifest	
freedesktop-sdk.bst-components-polkit.bst	polkit	
freedesktop-sdk.bst-components-poppler.bst	poppler	
freedesktop-sdk.bst-components-popt.bst	popt	
freedesktop-sdk.bst-components-procps.bst	procps	
freedesktop-sdk.bst-components-protobuf.bst	protobuf	
freedesktop-sdk.bst-components-pwquality.bst	pwquality	
freedesktop-sdk.bst-components-pycairo.bst	pycairo	
freedesktop-sdk.bst-components-python3-alabaster.bst	python3-alabaster	
freedesktop-sdk.bst-components-python3-appdirs.bst	python3-appdirs	
freedesktop-sdk.bst-components-python3-arpy.bst	python3-arpy	
freedesktop-sdk.bst-components-python3-attrs.bst	python3-attrs	
freedesktop-sdk.bst-components-python3-babel.bst	python3-babel	
freedesktop-sdk.bst-components-python3-backports-entrypoints-selectable.bst	python3-backports-entrypoints-selectable	
freedesktop-sdk.bst-components-python3-blessings.bst	python3-blessings	
freedesktop-sdk.bst-components-python3-build.bst	python3-build	
freedesktop-sdk.bst-components-python3-calver.bst	python3-calver	
freedesktop-sdk.bst-components-python3-certifi.bst	python3-certifi	
freedesktop-sdk.bst-components-python3-chardet.bst	python3-chardet	
freedesktop-sdk.bst-components-python3-charset-normalizer.bst	python3-charset-normalizer	
freedesktop-sdk.bst-components-python3-click.bst	python3-click	
freedesktop-sdk.bst-components-python3-contextlib2.bst	python3-contextlib2	
freedesktop-sdk.bst-components-python3-dbus-deviation.bst	python3-dbus-deviation	
freedesktop-sdk.bst-components-python3-dbus.bst	python3-dbus	
freedesktop-sdk.bst-components-python3-docutils.bst	python3-docutils	
freedesktop-sdk.bst-components-python3-dulwich.bst	python3-dulwich	
freedesktop-sdk.bst-components-python3-editables.bst	python3-editables	
freedesktop-sdk.bst-components-python3-faust-cchardet.bst	python3-faust-cchardet	
freedesktop-sdk.bst-components-python3-flit-core.bst	python3-flit-core	
freedesktop-sdk.bst-components-python3-grpcio.bst	python3-grpcio	
freedesktop-sdk.bst-components-python3-hatch-fancy-pypi-readme.bst	python3-hatch-fancy-pypi-readme	
freedesktop-sdk.bst-components-python3-hatch-vcs.bst	python3-hatch-vcs	
freedesktop-sdk.bst-components-python3-hatchling.bst	python3-hatchling	
freedesktop-sdk.bst-components-python3-idna.bst	python3-idna	
freedesktop-sdk.bst-components-python3-imagesize.bst	python3-imagesize	
freedesktop-sdk.bst-components-python3-installer.bst	python3-installer	
freedesktop-sdk.bst-components-python3-jinja2.bst	python3-jinja2	
freedesktop-sdk.bst-components-python3-lxml.bst	python3-lxml	
freedesktop-sdk.bst-components-python3-mako.bst	python3-mako	
freedesktop-sdk.bst-components-python3-markdown.bst	python3-markdown	
freedesktop-sdk.bst-components-python3-markupsafe.bst	python3-markupsafe	
freedesktop-sdk.bst-components-python3-networkx.bst	python3-networkx	
freedesktop-sdk.bst-components-python3-nftables.bst	python3-nftables	
freedesktop-sdk.bst-components-python3-packaging.bst	python3-packaging	
freedesktop-sdk.bst-components-python3-pathspec.bst	python3-pathspec	
freedesktop-sdk.bst-components-python3-pefile.bst	python3-pefile	
freedesktop-sdk.bst-components-python3-pil.bst	python3-pil	
freedesktop-sdk.bst-components-python3-pkgconfig.bst	python3-pkgconfig	
freedesktop-sdk.bst-components-python3-pluggy.bst	python3-pluggy	
freedesktop-sdk.bst-components-python3-pluginbase.bst	python3-pluginbase	
freedesktop-sdk.bst-components-python3-ply.bst	python3-ply	
freedesktop-sdk.bst-components-python3-poetry-core.bst	python3-poetry-core	
freedesktop-sdk.bst-components-python3-protobuf.bst	python3-protobuf	
freedesktop-sdk.bst-components-python3-psutil.bst	python3-psutil	
freedesktop-sdk.bst-components-python3-pycparser.bst	python3-pycparser	
freedesktop-sdk.bst-components-python3-pyelftools.bst	python3-pyelftools	
freedesktop-sdk.bst-components-python3-pygments.bst	python3-pygments	
freedesktop-sdk.bst-components-python3-pyparsing.bst	python3-pyparsing	
freedesktop-sdk.bst-components-python3-pyproject-hooks.bst	python3-pyproject-hooks	
freedesktop-sdk.bst-components-python3-pyroaring.bst	python3-pyroaring	
freedesktop-sdk.bst-components-python3-pyyaml.bst	python3-pyyaml	
freedesktop-sdk.bst-components-python3-requests.bst	python3-requests	
freedesktop-sdk.bst-components-python3-roman-numerals.bst	python3-roman-numerals	
freedesktop-sdk.bst-components-python3-ruamel-yaml-clib.bst	python3-ruamel-yaml-clib	
freedesktop-sdk.bst-components-python3-ruamel-yaml.bst	python3-ruamel-yaml	
freedesktop-sdk.bst-components-python3-schema.bst	python3-schema	
freedesktop-sdk.bst-components-python3-semantic-version.bst	python3-semantic-version	
freedesktop-sdk.bst-components-python3-setuptools-git.bst	python3-setuptools-git	
freedesktop-sdk.bst-components-python3-setuptools-rust.bst	python3-setuptools-rust	
freedesktop-sdk.bst-components-python3-setuptools-scm.bst	python3-setuptools-scm	
freedesktop-sdk.bst-components-python3-setuptools.bst	python3-setuptools	
freedesktop-sdk.bst-components-python3-smartypants.bst	python3-smartypants	
freedesktop-sdk.bst-components-python3-snowballstemmer.bst	python3-snowballstemmer	
freedesktop-sdk.bst-components-python3-sphinx-rtd-theme.bst	python3-sphinx-rtd-theme	
freedesktop-sdk.bst-components-python3-sphinx.bst	python3-sphinx	
freedesktop-sdk.bst-components-python3-sphinxcontrib-applehelp.bst	python3-sphinxcontrib-applehelp	
freedesktop-sdk.bst-components-python3-sphinxcontrib-devhelp.bst	python3-sphinxcontrib-devhelp	
freedesktop-sdk.bst-components-python3-sphinxcontrib-htmlhelp.bst	python3-sphinxcontrib-htmlhelp	
freedesktop-sdk.bst-components-python3-sphinxcontrib-jquery.bst	python3-sphinxcontrib-jquery	
freedesktop-sdk.bst-components-python3-sphinxcontrib-jsmath.bst	python3-sphinxcontrib-jsmath	
freedesktop-sdk.bst-components-python3-sphinxcontrib-qthelp.bst	python3-sphinxcontrib-qthelp	
freedesktop-sdk.bst-components-python3-sphinxcontrib-serializinghtml.bst	python3-sphinxcontrib-serializinghtml	
freedesktop-sdk.bst-components-python3-tomlkit.bst	python3-tomlkit	
freedesktop-sdk.bst-components-python3-toposort.bst	python3-toposort	
freedesktop-sdk.bst-components-python3-trove-classifiers.bst	python3-trove-classifiers	
freedesktop-sdk.bst-components-python3-typing-extensions.bst	python3-typing-extensions	
freedesktop-sdk.bst-components-python3-typogrify.bst	python3-typogrify	
freedesktop-sdk.bst-components-python3-ujson.bst	python3-ujson	
freedesktop-sdk.bst-components-python3-urllib3.bst	python3-urllib3	
freedesktop-sdk.bst-components-python3-vcs-versioning.bst	python3-vcs-versioning	
freedesktop-sdk.bst-components-python3-wheel.bst	python3-wheel	
freedesktop-sdk.bst-components-python3-wheezy-template.bst	python3-wheezy-template	
freedesktop-sdk.bst-components-python3.bst	python3	
freedesktop-sdk.bst-components-rdfind.bst	rdfind	
freedesktop-sdk.bst-components-rsync.bst	rsync	
freedesktop-sdk.bst-components-rtkit.bst	rtkit	
freedesktop-sdk.bst-components-ruby.bst	ruby	
freedesktop-sdk.bst-components-rust-bindgen.bst	rust-bindgen	
freedesktop-sdk.bst-components-rust-cbindgen.bst	rust-cbindgen	
freedesktop-sdk.bst-components-rust-src.bst	rust-src	
freedesktop-sdk.bst-components-rust.bst	rust	
freedesktop-sdk.bst-components-sbc.bst	sbc	
freedesktop-sdk.bst-components-scdoc.bst	scdoc	
freedesktop-sdk.bst-components-sdl2-compat.bst	sdl2-compat	
freedesktop-sdk.bst-components-sdl3-image.bst	sdl3-image	
freedesktop-sdk.bst-components-sdl3-mixer.bst	sdl3-mixer	
freedesktop-sdk.bst-components-sdl3-net.bst	sdl3-net	
freedesktop-sdk.bst-components-sdl3-ttf.bst	sdl3-ttf	
freedesktop-sdk.bst-components-sdl3.bst	sdl3	
freedesktop-sdk.bst-components-sed.bst	sed	
freedesktop-sdk.bst-components-shaderc.bst	shaderc	
freedesktop-sdk.bst-components-shadow.bst	shadow	
freedesktop-sdk.bst-components-shared-mime-info.bst	shared-mime-info	
freedesktop-sdk.bst-components-skopeo.bst	skopeo	
freedesktop-sdk.bst-components-slang.bst	slang	
freedesktop-sdk.bst-components-sndfile.bst	sndfile	
freedesktop-sdk.bst-components-sof-firmware.bst	sof-firmware	
freedesktop-sdk.bst-components-speex.bst	speex	
freedesktop-sdk.bst-components-speexdsp.bst	speexdsp	
freedesktop-sdk.bst-components-spirv-headers.bst	spirv-headers	
freedesktop-sdk.bst-components-spirv-llvm-translator.bst	spirv-llvm-translator	
freedesktop-sdk.bst-components-spirv-tools.bst	spirv-tools	
freedesktop-sdk.bst-components-sqlite.bst	sqlite	
freedesktop-sdk.bst-components-squashfs-tools.bst	squashfs-tools	
freedesktop-sdk.bst-components-steam-devices.bst	steam-devices	
freedesktop-sdk.bst-components-strace.bst	strace	
freedesktop-sdk.bst-components-stripper.bst	stripper	
freedesktop-sdk.bst-components-sudo.bst	sudo	
freedesktop-sdk.bst-components-supported-locales.bst	supported-locales	
freedesktop-sdk.bst-components-svt-av1.bst	svt-av1	
freedesktop-sdk.bst-components-swig.bst	swig	
freedesktop-sdk.bst-components-systemd-hwdb-maybe.bst	systemd-hwdb-maybe	
freedesktop-sdk.bst-components-systemd-manifest.bst	systemd-manifest	
freedesktop-sdk.bst-components-taglib.bst	taglib	
freedesktop-sdk.bst-components-tar.bst	tar	
freedesktop-sdk.bst-components-tex-gyre-fonts.bst	tex-gyre-fonts	
freedesktop-sdk.bst-components-texinfo.bst	texinfo	
freedesktop-sdk.bst-components-tomlplusplus.bst	tomlplusplus	
freedesktop-sdk.bst-components-tpm2-tools.bst	tpm2-tools	
freedesktop-sdk.bst-components-tpm2-tss.bst	tpm2-tss	
freedesktop-sdk.bst-components-tzdata.bst	tzdata	
freedesktop-sdk.bst-components-usbutils.bst	usbutils	
freedesktop-sdk.bst-components-utf-locale.bst	utf-locale	
freedesktop-sdk.bst-components-utf8cpp.bst	utf8cpp	
freedesktop-sdk.bst-components-util-linux-full.bst	util-linux-full	
freedesktop-sdk.bst-components-util-linux-libfdisk.bst	util-linux-libfdisk	
freedesktop-sdk.bst-components-util-linux-libs.bst	util-linux-libs	
freedesktop-sdk.bst-components-util-linux-manifest.bst	util-linux-manifest	
freedesktop-sdk.bst-components-util-linux.bst	util-linux	
freedesktop-sdk.bst-components-v4l-utils.bst	v4l-utils	
freedesktop-sdk.bst-components-valgrind-maybe.bst	valgrind-maybe	
freedesktop-sdk.bst-components-vim.bst	vim	
freedesktop-sdk.bst-components-vmlinuxh-pregenerated.bst	vmlinuxh-pregenerated	
freedesktop-sdk.bst-components-vmlinuxh.bst	vmlinuxh	
freedesktop-sdk.bst-components-volume-key.bst	volume-key	
freedesktop-sdk.bst-components-vulkan-headers.bst	vulkan-headers	
freedesktop-sdk.bst-components-vulkan-icd-loader.bst	vulkan-icd-loader	
freedesktop-sdk.bst-components-wavpack.bst	wavpack	
freedesktop-sdk.bst-components-wayland-protocols.bst	wayland-protocols	
freedesktop-sdk.bst-components-wayland.bst	wayland	
freedesktop-sdk.bst-components-webrtc-audio-processing.bst	webrtc-audio-processing	
freedesktop-sdk.bst-components-wget2.bst	wget2	
freedesktop-sdk.bst-components-which.bst	which	
freedesktop-sdk.bst-components-wildmidi.bst	wildmidi	
freedesktop-sdk.bst-components-wireless-regdb-bin.bst	wireless-regdb-bin	
freedesktop-sdk.bst-components-wireplumber.bst	wireplumber	
freedesktop-sdk.bst-components-wpa-supplicant.bst	wpa-supplicant	
freedesktop-sdk.bst-components-xcb-util-cursor.bst	xcb-util-cursor	
freedesktop-sdk.bst-components-xcb-util-image.bst	xcb-util-image	
freedesktop-sdk.bst-components-xcb-util-keysyms.bst	xcb-util-keysyms	
freedesktop-sdk.bst-components-xcb-util-renderutil.bst	xcb-util-renderutil	
freedesktop-sdk.bst-components-xcb-util-wm.bst	xcb-util-wm	
freedesktop-sdk.bst-components-xcb-util.bst	xcb-util	
freedesktop-sdk.bst-components-xdg-dbus-proxy.bst	xdg-dbus-proxy	
freedesktop-sdk.bst-components-xdg-desktop-portal-manifest.bst	xdg-desktop-portal-manifest	
freedesktop-sdk.bst-components-xdg-portal-interfaces.bst	xdg-portal-interfaces	
freedesktop-sdk.bst-components-xdg-user-dirs.bst	xdg-user-dirs	
freedesktop-sdk.bst-components-xfsprogs.bst	xfsprogs	
freedesktop-sdk.bst-components-xmlto.bst	xmlto	
freedesktop-sdk.bst-components-xmltoman.bst	xmltoman	
freedesktop-sdk.bst-components-xorg-app-xkbcomp.bst	xorg-app-xkbcomp	
freedesktop-sdk.bst-components-xorg-data-xkeyboard-config.bst	xorg-data-xkeyboard-config	
freedesktop-sdk.bst-components-xorg-font-util.bst	xorg-font-util	
freedesktop-sdk.bst-components-xorg-lib-fontenc.bst	xorg-lib-fontenc	
freedesktop-sdk.bst-components-xorg-lib-ice.bst	xorg-lib-ice	
freedesktop-sdk.bst-components-xorg-lib-pciaccess.bst	xorg-lib-pciaccess	
freedesktop-sdk.bst-components-xorg-lib-sm.bst	xorg-lib-sm	
freedesktop-sdk.bst-components-xorg-lib-x11.bst	xorg-lib-x11	
freedesktop-sdk.bst-components-xorg-lib-xau.bst	xorg-lib-xau	
freedesktop-sdk.bst-components-xorg-lib-xcb.bst	xorg-lib-xcb	
freedesktop-sdk.bst-components-xorg-lib-xcomposite.bst	xorg-lib-xcomposite	
freedesktop-sdk.bst-components-xorg-lib-xcursor.bst	xorg-lib-xcursor	
freedesktop-sdk.bst-components-xorg-lib-xcvt.bst	xorg-lib-xcvt	
freedesktop-sdk.bst-components-xorg-lib-xdamage.bst	xorg-lib-xdamage	
freedesktop-sdk.bst-components-xorg-lib-xdmcp.bst	xorg-lib-xdmcp	
freedesktop-sdk.bst-components-xorg-lib-xext.bst	xorg-lib-xext	
freedesktop-sdk.bst-components-xorg-lib-xfixes.bst	xorg-lib-xfixes	
freedesktop-sdk.bst-components-xorg-lib-xfont2.bst	xorg-lib-xfont2	
freedesktop-sdk.bst-components-xorg-lib-xft.bst	xorg-lib-xft	
freedesktop-sdk.bst-components-xorg-lib-xi.bst	xorg-lib-xi	
freedesktop-sdk.bst-components-xorg-lib-xinerama.bst	xorg-lib-xinerama	
freedesktop-sdk.bst-components-xorg-lib-xkbfile.bst	xorg-lib-xkbfile	
freedesktop-sdk.bst-components-xorg-lib-xpm.bst	xorg-lib-xpm	
freedesktop-sdk.bst-components-xorg-lib-xrandr.bst	xorg-lib-xrandr	
freedesktop-sdk.bst-components-xorg-lib-xrender.bst	xorg-lib-xrender	
freedesktop-sdk.bst-components-xorg-lib-xscrnsaver.bst	xorg-lib-xscrnsaver	
freedesktop-sdk.bst-components-xorg-lib-xshmfence.bst	xorg-lib-xshmfence	
freedesktop-sdk.bst-components-xorg-lib-xt.bst	xorg-lib-xt	
freedesktop-sdk.bst-components-xorg-lib-xtrans.bst	xorg-lib-xtrans	
freedesktop-sdk.bst-components-xorg-lib-xtst.bst	xorg-lib-xtst	
freedesktop-sdk.bst-components-xorg-lib-xv.bst	xorg-lib-xv	
freedesktop-sdk.bst-components-xorg-lib-xxf86vm.bst	xorg-lib-xxf86vm	
freedesktop-sdk.bst-components-xorg-proto-xcb.bst	xorg-proto-xcb	
freedesktop-sdk.bst-components-xorg-proto-xorgproto.bst	xorg-proto-xorgproto	
freedesktop-sdk.bst-components-xorg-util-macros.bst	xorg-util-macros	
freedesktop-sdk.bst-components-xwayland.bst	xwayland	
freedesktop-sdk.bst-components-xxhash.bst	xxhash	
freedesktop-sdk.bst-components-xz-docs.bst	xz-docs	
freedesktop-sdk.bst-components-xz.bst	xz	
freedesktop-sdk.bst-components-zip.bst	zip	
freedesktop-sdk.bst-components-zlib.bst	zlib	
freedesktop-sdk.bst-components-zstd.bst	zstd	
freedesktop-sdk.bst-extensions-mesa-libclc.bst	libclc	
freedesktop-sdk.bst-extensions-mesa-libdrm.bst	libdrm	
freedesktop-sdk.bst-extensions-mesa-llvm.bst	llvm	
freedesktop-sdk.bst-extensions-mesa-mesa.bst	mesa	
freedesktop-sdk.bst-integration-ldconfig.bst	ldconfig	
freedesktop-sdk.bst-integration-mtab.bst	mtab	
freedesktop-sdk.bst-platform.bst	platform	
freedesktop-sdk.bst-public-stacks-buildsystem-autotools.bst	buildsystem-autotools	
freedesktop-sdk.bst-public-stacks-buildsystem-cmake.bst	buildsystem-cmake	
freedesktop-sdk.bst-public-stacks-buildsystem-go.bst	buildsystem-go	
freedesktop-sdk.bst-public-stacks-buildsystem-make.bst	buildsystem-make	
freedesktop-sdk.bst-public-stacks-buildsystem-meson.bst	buildsystem-meson	
freedesktop-sdk.bst-public-stacks-buildsystem-python-flit.bst	buildsystem-python-flit	
freedesktop-sdk.bst-public-stacks-buildsystem-python-hatchling.bst	buildsystem-python-hatchling	
freedesktop-sdk.bst-public-stacks-buildsystem-python-poetry.bst	buildsystem-python-poetry	
freedesktop-sdk.bst-public-stacks-buildsystem-python-setuptools.bst	buildsystem-python-setuptools	
freedesktop-sdk.bst-public-stacks-buildsystem-rust.bst	buildsystem-rust	
freedesktop-sdk.bst-public-stacks-runtime-gnu.bst	runtime-gnu	
freedesktop-sdk.bst-public-stacks-runtime-minimal.bst	runtime-minimal	
freedesktop-sdk.bst-vm-config-sudo.bst	sudo	
freedesktop-sdk.bst-vm-config-useradd-default.bst	useradd-default	
freedesktop-sdk.bst-vm-mesa-default.bst	mesa-default	
freedesktop-sdk.bst-vm-prepare-image.bst	prepare-image	
gnome-build-meta.bst-buildsystems-autotools.bst	autotools	
gnome-build-meta.bst-buildsystems-cmake.bst	cmake	
gnome-build-meta.bst-buildsystems-jobserver-pool.bst	jobserver-pool	
gnome-build-meta.bst-buildsystems-make.bst	make	
gnome-build-meta.bst-buildsystems-meson.bst	meson	
gnome-build-meta.bst-buildsystems-recc-wrapper.bst	recc-wrapper	
gnome-build-meta.bst-core-baobab.bst	baobab	
gnome-build-meta.bst-core-calls.bst	calls	
gnome-build-meta.bst-core-d-spy.bst	d-spy	
gnome-build-meta.bst-core-dconf-editor.bst	dconf-editor	
gnome-build-meta.bst-core-deps-LibVNCServer.bst	LibVNCServer	
gnome-build-meta.bst-core-deps-NetworkManager.bst	NetworkManager	
gnome-build-meta.bst-core-deps-accountsservice.bst	accountsservice	
gnome-build-meta.bst-core-deps-boltd.bst	boltd	
gnome-build-meta.bst-core-deps-brltty.bst	brltty	
gnome-build-meta.bst-core-deps-callaudiod.bst	callaudiod	
gnome-build-meta.bst-core-deps-cjson.bst	cjson	
gnome-build-meta.bst-core-deps-cmark.bst	cmark	
gnome-build-meta.bst-core-deps-colord-gtk.bst	colord-gtk	
gnome-build-meta.bst-core-deps-colord.bst	colord	
gnome-build-meta.bst-core-deps-cups-pk-helper.bst	cups-pk-helper	
gnome-build-meta.bst-core-deps-dasbus.bst	dasbus	
gnome-build-meta.bst-core-deps-dconf.bst	dconf	
gnome-build-meta.bst-core-deps-dnsmasq.bst	dnsmasq	
gnome-build-meta.bst-core-deps-dotconf.bst	dotconf	
gnome-build-meta.bst-core-deps-ebtables.bst	ebtables	
gnome-build-meta.bst-core-deps-editorconfig-core-c.bst	editorconfig-core-c	
gnome-build-meta.bst-core-deps-espeak-ng.bst	espeak-ng	
gnome-build-meta.bst-core-deps-evolution-data-server.bst	evolution-data-server	
gnome-build-meta.bst-core-deps-exempi.bst	exempi	
gnome-build-meta.bst-core-deps-exiv2.bst	exiv2	
gnome-build-meta.bst-core-deps-fast-float.bst	fast-float	
gnome-build-meta.bst-core-deps-fdk-aac-free.bst	fdk-aac-free	
gnome-build-meta.bst-core-deps-feedbackd.bst	feedbackd	
gnome-build-meta.bst-core-deps-flatpak.bst	flatpak	
gnome-build-meta.bst-core-deps-folks.bst	folks	
gnome-build-meta.bst-core-deps-foundry.bst	foundry	
gnome-build-meta.bst-core-deps-freerdp.bst	freerdp	
gnome-build-meta.bst-core-deps-fwupd-efi.bst	fwupd-efi	
gnome-build-meta.bst-core-deps-fwupd.bst	fwupd	
gnome-build-meta.bst-core-deps-geocode-glib.bst	geocode-glib	
gnome-build-meta.bst-core-deps-gexiv2.bst	gexiv2	
gnome-build-meta.bst-core-deps-glib-testing.bst	glib-testing	
gnome-build-meta.bst-core-deps-gmobile.bst	gmobile	
gnome-build-meta.bst-core-deps-gnome-autoar.bst	gnome-autoar	
gnome-build-meta.bst-core-deps-gnome-online-accounts.bst	gnome-online-accounts	
gnome-build-meta.bst-core-deps-gom.bst	gom	
gnome-build-meta.bst-core-deps-graphviz.bst	graphviz	
gnome-build-meta.bst-core-deps-gsound.bst	gsound	
gnome-build-meta.bst-core-deps-gssdp.bst	gssdp	
gnome-build-meta.bst-core-deps-gst-editing-services.bst	gst-editing-services	
gnome-build-meta.bst-core-deps-gupnp-av.bst	gupnp-av	
gnome-build-meta.bst-core-deps-gupnp-dlna.bst	gupnp-dlna	
gnome-build-meta.bst-core-deps-gupnp.bst	gupnp	
gnome-build-meta.bst-core-deps-gweather-locations.bst	gweather-locations	
gnome-build-meta.bst-core-deps-hwdata.bst	hwdata	
gnome-build-meta.bst-core-deps-ibus-daemon.bst	ibus-daemon	
gnome-build-meta.bst-core-deps-intltool.bst	intltool	
gnome-build-meta.bst-core-deps-jasmine-gjs.bst	jasmine-gjs	
gnome-build-meta.bst-core-deps-jsonrpc-glib.bst	jsonrpc-glib	
gnome-build-meta.bst-core-deps-libbluray.bst	libbluray	
gnome-build-meta.bst-core-deps-libcacard.bst	libcacard	
gnome-build-meta.bst-core-deps-libcanberra.bst	libcanberra	
gnome-build-meta.bst-core-deps-libcdio-paranoia.bst	libcdio-paranoia	
gnome-build-meta.bst-core-deps-libcdio.bst	libcdio	
gnome-build-meta.bst-core-deps-libcheck.bst	libcheck	
gnome-build-meta.bst-core-deps-libcloudproviders.bst	libcloudproviders	
gnome-build-meta.bst-core-deps-libcue.bst	libcue	
gnome-build-meta.bst-core-deps-libdisplay-info.bst	libdisplay-info	
gnome-build-meta.bst-core-deps-libdvdcss.bst	libdvdcss	
gnome-build-meta.bst-core-deps-libdvdread.bst	libdvdread	
gnome-build-meta.bst-core-deps-libgit2-glib.bst	libgit2-glib	
gnome-build-meta.bst-core-deps-libgit2.bst	libgit2	
gnome-build-meta.bst-core-deps-libgphoto2.bst	libgphoto2	
gnome-build-meta.bst-core-deps-libgsf.bst	libgsf	
gnome-build-meta.bst-core-deps-libgsystemservice.bst	libgsystemservice	
gnome-build-meta.bst-core-deps-libgtop.bst	libgtop	
